Order_ID,Customer_ID,Product_ID,Quantity,Order_Date,Order_Time,Delivery_Date,Delivery_Time,Location,Occasion,Month Name,Hour(Order Time),diff_order_delivery,Hour(Delivery Time),Price (INR),Order_Amount,Day_of_order,Day_of_delivery,Revenue
521,C062,33,5,04-02-2023,21:00:17,08-02-2023,02:28:38,Noida,Valentine's Day,February,21,4,2,314,1570,Saturday,Wednesday,1570
527,C036,33,3,11-02-2023,12:51:40,19-02-2023,15:58:07,Bardhaman,Valentine's Day,February,12,8,15,314,942,Saturday,Sunday,942
561,C099,49,5,12-02-2023,12:24:35,21-02-2023,17:23:34,Ghaziabad,Valentine's Day,February,12,9,17,903,4515,Sunday,Tuesday,4515
563,C077,58,5,11-02-2023,11:43:18,19-02-2023,05:04:29,Jorhat,Valentine's Day,February,11,8,5,1492,7460,Saturday,Sunday,7460
573,C040,3,5,08-02-2023,02:52:06,14-02-2023,02:57:06,Thane,Valentine's Day,February,2,6,2,1534,7670,Wednesday,Tuesday,7670
575,C076,49,2,06-02-2023,13:24:32,09-02-2023,14:55:08,Kota,Valentine's Day,February,13,3,14,903,1806,Monday,Thursday,1806
582,C019,3,4,04-02-2023,18:30:31,05-02-2023,19:16:41,Latur,Valentine's Day,February,18,1,19,1534,6136,Saturday,Sunday,6136
588,C056,49,5,04-02-2023,06:37:00,05-02-2023,21:21:57,Kishanganj,Valentine's Day,February,6,1,21,903,4515,Saturday,Sunday,4515
593,C016,58,3,05-02-2023,17:30:40,12-02-2023,09:34:03,Bhilai,Valentine's Day,February,17,7,9,1492,4476,Sunday,Sunday,4476
606,C047,3,5,08-02-2023,02:13:13,17-02-2023,07:31:32,Sambalpur,Valentine's Day,February,2,9,7,1534,7670,Wednesday,Friday,7670
628,C061,11,5,10-02-2023,21:50:27,13-02-2023,21:07:46,Ongole,Valentine's Day,February,21,3,21,1096,5480,Friday,Monday,5480
633,C031,52,5,10-02-2023,14:44:42,15-02-2023,05:12:46,Surat,Valentine's Day,February,14,5,5,236,1180,Friday,Wednesday,1180
651,C017,11,4,13-02-2023,02:16:28,19-02-2023,11:55:54,Panihati,Valentine's Day,February,2,6,11,1096,4384,Monday,Sunday,4384
656,C032,68,2,05-02-2023,18:34:41,06-02-2023,04:46:00,Dehri,Valentine's Day,February,18,1,4,597,1194,Sunday,Monday,1194
659,C048,19,5,05-02-2023,17:44:56,12-02-2023,22:37:43,Silchar,Valentine's Day,February,17,7,22,1234,6170,Sunday,Sunday,6170
660,C053,58,3,11-02-2023,06:08:46,21-02-2023,20:48:35,Amravati,Valentine's Day,February,6,10,20,1492,4476,Saturday,Tuesday,4476
669,C035,68,5,10-02-2023,07:11:50,17-02-2023,09:56:42,Ludhiana,Valentine's Day,February,7,7,9,597,2985,Friday,Friday,2985
673,C008,33,3,04-02-2023,05:54:49,07-02-2023,04:25:38,Gaya,Valentine's Day,February,5,3,4,314,942,Saturday,Tuesday,942
674,C065,68,2,07-02-2023,09:41:25,16-02-2023,23:40:25,Chennai,Valentine's Day,February,9,9,23,597,1194,Tuesday,Thursday,1194
711,C093,68,3,04-02-2023,17:15:28,06-02-2023,14:50:53,Tiruppur,Valentine's Day,February,17,2,14,597,1791,Saturday,Monday,1791
718,C028,49,1,09-02-2023,05:13:35,13-02-2023,06:22:05,Jabalpur,Valentine's Day,February,5,4,6,903,903,Thursday,Monday,903
721,C022,3,5,07-02-2023,03:28:21,17-02-2023,18:28:02,Vasai-Virar,Valentine's Day,February,3,10,18,1534,7670,Tuesday,Friday,7670
728,C073,52,2,08-02-2023,13:45:46,11-02-2023,16:07:16,Panchkula,Valentine's Day,February,13,3,16,236,472,Wednesday,Saturday,472
734,C008,49,3,11-02-2023,11:44:37,14-02-2023,09:06:06,Morena,Valentine's Day,February,11,3,9,903,2709,Saturday,Tuesday,2709
750,C022,19,3,08-02-2023,09:22:41,14-02-2023,22:24:42,Chapra,Valentine's Day,February,9,6,22,1234,3702,Wednesday,Tuesday,3702
752,C034,3,5,10-02-2023,11:38:01,12-02-2023,10:35:58,Bally,Valentine's Day,February,11,2,10,1534,7670,Friday,Sunday,7670
757,C001,2,3,12-02-2023,10:23:53,20-02-2023,04:40:28,Shivpuri,Valentine's Day,February,10,8,4,441,1323,Sunday,Monday,1323
779,C052,3,1,06-02-2023,06:26:37,08-02-2023,02:51:51,Durgapur,Valentine's Day,February,6,2,2,1534,1534,Monday,Wednesday,1534
780,C070,33,2,10-02-2023,11:30:51,13-02-2023,04:28:25,Bikaner,Valentine's Day,February,11,3,4,314,628,Friday,Monday,628
789,C048,58,4,08-02-2023,18:19:36,15-02-2023,08:00:31,Bally,Valentine's Day,February,18,7,8,1492,5968,Wednesday,Wednesday,5968
793,C095,58,5,05-02-2023,17:37:16,15-02-2023,01:28:17,Mirzapur,Valentine's Day,February,17,10,1,1492,7460,Sunday,Wednesday,7460
804,C009,3,3,05-02-2023,05:37:18,07-02-2023,01:58:08,Deoghar,Valentine's Day,February,5,2,1,1534,4602,Sunday,Tuesday,4602
838,C003,19,3,09-02-2023,10:18:01,17-02-2023,06:09:40,Sirsa,Valentine's Day,February,10,8,6,1234,3702,Thursday,Friday,3702
843,C007,68,1,11-02-2023,21:46:03,12-02-2023,19:27:09,Bikaner,Valentine's Day,February,21,1,19,597,597,Saturday,Sunday,597
864,C033,11,1,11-02-2023,19:34:22,15-02-2023,08:05:38,Lucknow,Valentine's Day,February,19,4,8,1096,1096,Saturday,Wednesday,1096
865,C032,19,1,12-02-2023,18:09:14,13-02-2023,06:38:00,Kumbakonam,Valentine's Day,February,18,1,6,1234,1234,Sunday,Monday,1234
869,C032,3,5,06-02-2023,10:03:19,11-02-2023,23:16:28,Hazaribagh,Valentine's Day,February,10,5,23,1534,7670,Monday,Saturday,7670
874,C010,68,1,11-02-2023,12:42:30,21-02-2023,17:35:44,Ramagundam,Valentine's Day,February,12,10,17,597,597,Saturday,Tuesday,597
879,C092,33,2,07-02-2023,05:34:34,10-02-2023,11:27:38,Kishanganj,Valentine's Day,February,5,3,11,314,628,Tuesday,Friday,628
891,C027,58,2,08-02-2023,14:56:43,16-02-2023,23:54:45,Shivpuri,Valentine's Day,February,14,8,23,1492,2984,Wednesday,Thursday,2984
892,C025,11,4,06-02-2023,18:33:04,07-02-2023,01:26:54,Thrissur,Valentine's Day,February,18,1,1,1096,4384,Monday,Tuesday,4384
898,C018,52,1,09-02-2023,06:18:52,13-02-2023,23:13:42,Kadapa,Valentine's Day,February,6,4,23,236,236,Thursday,Monday,236
904,C013,2,4,12-02-2023,22:05:48,17-02-2023,01:05:37,Mira-Bhayandar,Valentine's Day,February,22,5,1,441,1764,Sunday,Friday,1764
905,C080,58,1,10-02-2023,19:31:35,16-02-2023,08:32:14,Ichalkaranji,Valentine's Day,February,19,6,8,1492,1492,Friday,Thursday,1492
906,C100,49,3,06-02-2023,01:16:20,16-02-2023,09:14:48,Jalandhar,Valentine's Day,February,1,10,9,903,2709,Monday,Thursday,2709
914,C048,33,4,09-02-2023,14:52:18,14-02-2023,09:47:20,Sambhal,Valentine's Day,February,14,5,9,314,1256,Thursday,Tuesday,1256
916,C063,33,2,06-02-2023,04:23:09,14-02-2023,21:19:24,Darbhanga,Valentine's Day,February,4,8,21,314,628,Monday,Tuesday,628
918,C083,19,2,12-02-2023,18:13:06,21-02-2023,22:02:06,Pali,Valentine's Day,February,18,9,22,1234,2468,Sunday,Tuesday,2468
952,C027,49,4,12-02-2023,02:48:07,22-02-2023,09:19:09,Bidar,Valentine's Day,February,2,10,9,903,3612,Sunday,Wednesday,3612
967,C041,68,4,12-02-2023,00:21:23,20-02-2023,18:29:48,Siliguri,Valentine's Day,February,0,8,18,597,2388,Sunday,Monday,2388
989,C017,52,3,06-02-2023,08:11:27,15-02-2023,02:00:04,Bidhannagar,Valentine's Day,February,8,9,2,236,708,Monday,Wednesday,708
994,C004,68,2,13-02-2023,22:44:36,21-02-2023,06:45:30,Chandigarh,Valentine's Day,February,22,8,6,597,1194,Monday,Tuesday,1194
997,C098,19,2,04-02-2023,04:28:27,10-02-2023,11:50:24,Vasai-Virar,Valentine's Day,February,4,6,11,1234,2468,Saturday,Friday,2468
999,C054,52,2,06-02-2023,22:40:49,10-02-2023,12:29:21,Miryalaguda,Valentine's Day,February,22,4,12,236,472,Monday,Friday,472
1,C037,67,5,24-02-2023,23:48:13,05-03-2023,07:27:10,Bardhaman,Anniversary,February,23,9,7,1374,6870,Friday,Sunday,6870
55,C040,5,1,08-02-2023,08:01:07,13-02-2023,07:42:58,Kottayam,All Occasions,February,8,5,7,1444,1444,Wednesday,Monday,1444
31,C029,7,5,28-02-2023,13:13:22,03-03-2023,23:35:49,Nandyal,Holi,February,13,3,23,409,2045,Tuesday,Friday,2045
47,C013,7,5,26-02-2023,13:04:28,28-02-2023,06:00:20,Jaipur,Holi,February,13,2,6,409,2045,Sunday,Tuesday,2045
10,C099,56,3,26-02-2023,00:17:26,08-03-2023,20:47:43,Ambala,Anniversary,February,0,10,20,1272,3816,Sunday,Wednesday,3816
13,C024,20,3,24-02-2023,16:47:16,04-03-2023,02:27:37,Gandhidham,Anniversary,February,16,8,2,697,2091,Friday,Saturday,2091
16,C013,20,3,16-02-2023,15:06:11,20-02-2023,22:14:21,Khammam,Anniversary,February,15,4,22,697,2091,Thursday,Monday,2091
21,C090,32,1,09-02-2023,11:20:52,12-02-2023,11:36:26,Bathinda,Birthday,February,11,3,11,1792,1792,Thursday,Sunday,1792
42,C080,35,1,26-02-2023,00:08:38,07-03-2023,17:18:28,Faridabad,Holi,February,0,9,17,1865,1865,Sunday,Tuesday,1865
57,C090,35,5,26-02-2023,08:00:15,06-03-2023,12:27:32,Ahmedabad,Holi,February,8,8,12,1865,9325,Sunday,Monday,9325
66,C017,35,5,26-02-2023,21:00:44,27-02-2023,06:25:58,Munger,Holi,February,21,1,6,1865,9325,Sunday,Monday,9325
81,C053,1,5,22-02-2023,18:29:21,03-03-2023,07:09:32,Kalyan-Dombivli,All Occasions,February,18,9,7,1935,9675,Wednesday,Friday,9675
91,C061,6,2,27-02-2023,13:52:56,05-03-2023,13:23:25,Mahbubnagar,Holi,February,13,6,13,1112,2224,Monday,Sunday,2224
103,C097,18,3,01-02-2023,12:24:59,08-02-2023,22:51:39,Ichalkaranji,Birthday,February,12,7,22,781,2343,Wednesday,Wednesday,2343
105,C063,36,2,11-02-2023,02:57:36,21-02-2023,01:34:10,Guna,Birthday,February,2,10,1,203,406,Saturday,Tuesday,406
108,C012,26,4,27-02-2023,09:03:26,05-03-2023,08:03:05,Berhampore,Holi,February,9,6,8,289,1156,Monday,Sunday,1156
109,C074,50,5,27-02-2023,15:35:48,01-03-2023,08:38:56,Gandhidham,Holi,February,15,2,8,422,2110,Monday,Wednesday,2110
114,C009,40,4,03-02-2023,16:03:15,07-02-2023,02:22:48,Kirari Suleman Nagar,Anniversary,February,16,4,2,1923,7692,Friday,Tuesday,7692
118,C035,62,1,27-02-2023,14:30:59,05-03-2023,10:32:52,Bhavnagar,Holi,February,14,6,10,1356,1356,Monday,Sunday,1356
129,C051,67,2,17-02-2023,05:21:30,20-02-2023,08:17:32,Ramgarh,Anniversary,February,5,3,8,1374,2748,Friday,Monday,2748
141,C062,35,4,28-02-2023,03:55:06,10-03-2023,02:31:56,Allahabad,Holi,February,3,10,2,1865,7460,Tuesday,Friday,7460
143,C087,66,2,28-02-2023,07:37:18,10-03-2023,14:49:54,Ramagundam,Holi,February,7,10,14,610,1220,Tuesday,Friday,1220
152,C084,51,2,27-02-2023,10:48:51,05-03-2023,16:39:22,Tiruppur,All Occasions,February,10,6,16,1084,2168,Monday,Sunday,2168
156,C030,61,2,09-02-2023,08:20:50,12-02-2023,10:49:14,Ozhukarai,Anniversary,February,8,3,10,810,1620,Thursday,Sunday,1620
157,C019,35,3,26-02-2023,12:44:17,06-03-2023,11:35:44,Thiruvananthapuram,Holi,February,12,8,11,1865,5595,Sunday,Monday,5595
163,C083,54,4,17-02-2023,19:50:10,25-02-2023,10:20:16,Ujjain,Anniversary,February,19,8,10,1236,4944,Friday,Saturday,4944
179,C078,47,3,28-02-2023,15:16:02,10-03-2023,14:31:07,Vijayanagaram,Holi,February,15,10,14,1638,4914,Tuesday,Friday,4914
212,C093,7,2,28-02-2023,07:14:40,05-03-2023,20:01:45,Ozhukarai,Holi,February,7,5,20,409,818,Tuesday,Sunday,818
213,C022,42,5,14-02-2023,08:26:18,24-02-2023,08:58:11,Dehradun,All Occasions,February,8,10,8,1744,8720,Tuesday,Friday,8720
222,C099,6,5,26-02-2023,05:57:25,07-03-2023,18:20:50,Guntur,Holi,February,5,9,18,1112,5560,Sunday,Tuesday,5560
235,C071,56,2,26-02-2023,14:26:46,03-03-2023,23:26:23,Bhilai,Anniversary,February,14,5,23,1272,2544,Sunday,Friday,2544
246,C017,69,5,28-02-2023,23:24:33,08-03-2023,00:38:49,Agra,Holi,February,23,8,0,998,4990,Tuesday,Wednesday,4990
251,C051,7,4,28-02-2023,00:31:48,02-03-2023,00:19:44,Khora,Holi,February,0,2,0,409,1636,Tuesday,Thursday,1636
252,C040,69,2,26-02-2023,05:41:28,28-02-2023,08:11:16,Nandyal,Holi,February,5,2,8,998,1996,Sunday,Tuesday,1996
285,C082,7,5,26-02-2023,17:26:44,01-03-2023,12:52:20,Tirunelveli,Holi,February,17,3,12,409,2045,Sunday,Wednesday,2045
297,C047,13,3,28-02-2023,20:15:29,05-03-2023,20:52:27,Phagwara,Holi,February,20,5,20,1141,3423,Tuesday,Sunday,3423
301,C070,6,3,27-02-2023,06:24:22,04-03-2023,16:52:16,Kota,Holi,February,6,5,16,1112,3336,Monday,Saturday,3336
323,C013,23,2,09-02-2023,18:13:04,10-02-2023,10:22:35,Khora,Anniversary,February,18,1,10,1098,2196,Thursday,Friday,2196
324,C073,14,2,02-02-2023,18:47:28,11-02-2023,15:34:54,North Dumdum,Birthday,February,18,9,15,1915,3830,Thursday,Saturday,3830
333,C100,22,5,09-02-2023,06:19:15,10-02-2023,03:46:29,South Dumdum,All Occasions,February,6,1,3,1639,8195,Thursday,Friday,8195
354,C087,13,5,26-02-2023,17:25:28,06-03-2023,09:43:32,Narasaraopet,Holi,February,17,8,9,1141,5705,Sunday,Monday,5705
359,C052,47,2,28-02-2023,12:13:36,05-03-2023,20:31:30,Nagpur,Holi,February,12,5,20,1638,3276,Tuesday,Sunday,3276
375,C091,46,1,11-02-2023,04:16:25,20-02-2023,19:37:38,Mysore,Anniversary,February,4,9,19,758,758,Saturday,Monday,758
407,C074,69,3,26-02-2023,08:52:11,28-02-2023,04:09:44,Jamalpur,Holi,February,8,2,4,998,2994,Sunday,Tuesday,2994
409,C049,50,4,26-02-2023,17:43:59,28-02-2023,19:44:57,Khammam,Holi,February,17,2,19,422,1688,Sunday,Tuesday,1688
414,C034,7,4,28-02-2023,21:18:11,07-03-2023,01:07:31,Raurkela Industrial Township,Holi,February,21,7,1,409,1636,Tuesday,Tuesday,1636
420,C039,6,3,27-02-2023,08:36:20,28-02-2023,00:07:29,Kota,Holi,February,8,1,0,1112,3336,Monday,Tuesday,3336
433,C068,7,5,26-02-2023,23:33:51,02-03-2023,04:19:56,Amravati,Holi,February,23,4,4,409,2045,Sunday,Thursday,2045
441,C052,26,2,26-02-2023,11:23:56,06-03-2023,16:38:50,Kurnool,Holi,February,11,8,16,289,578,Sunday,Monday,578
447,C032,47,4,27-02-2023,02:45:34,04-03-2023,15:04:56,Bhilwara,Holi,February,2,5,15,1638,6552,Monday,Saturday,6552
470,C031,47,5,28-02-2023,17:34:04,06-03-2023,15:29:29,Bhavnagar,Holi,February,17,6,15,1638,8190,Tuesday,Monday,8190
474,C051,1,4,07-02-2023,06:31:59,14-02-2023,02:00:07,Dibrugarh,All Occasions,February,6,7,2,1935,7740,Tuesday,Tuesday,7740
494,C082,7,4,28-02-2023,03:11:22,08-03-2023,19:06:48,Rewa,Holi,February,3,8,19,409,1636,Tuesday,Wednesday,1636
508,C035,69,1,26-02-2023,17:29:28,04-03-2023,07:11:06,Varanasi,Holi,February,17,6,7,998,998,Sunday,Saturday,998
511,C055,47,2,27-02-2023,12:58:05,04-03-2023,00:46:11,Dibrugarh,Holi,February,12,5,0,1638,3276,Monday,Saturday,3276
522,C011,50,3,27-02-2023,21:04:28,08-03-2023,01:34:50,Avadi,Holi,February,21,9,1,422,1266,Monday,Wednesday,1266
543,C023,51,4,12-02-2023,21:51:10,17-02-2023,11:53:09,Saharanpur,All Occasions,February,21,5,11,1084,4336,Sunday,Friday,4336
546,C064,25,3,02-02-2023,22:04:53,11-02-2023,10:00:07,Motihari,Anniversary,February,22,9,10,1202,3606,Thursday,Saturday,3606
548,C012,25,2,21-02-2023,12:32:50,22-02-2023,19:47:44,Gorakhpur,Anniversary,February,12,1,19,1202,2404,Tuesday,Wednesday,2404
550,C023,29,5,27-02-2023,19:28:12,05-03-2023,17:03:39,Bettiah,Holi,February,19,6,17,1252,6260,Monday,Sunday,6260
554,C045,29,4,28-02-2023,20:25:07,03-03-2023,16:49:01,Sangli-Miraj & Kupwad,Holi,February,20,3,16,1252,5008,Tuesday,Friday,5008
570,C056,69,3,28-02-2023,11:25:04,09-03-2023,00:53:55,Satna,Holi,February,11,9,0,998,2994,Tuesday,Thursday,2994
571,C046,6,1,28-02-2023,09:38:25,09-03-2023,04:26:01,Bhatpara,Holi,February,9,9,4,1112,1112,Tuesday,Thursday,1112
617,C083,22,1,19-02-2023,02:53:42,28-02-2023,17:01:34,Uluberia,All Occasions,February,2,9,17,1639,1639,Sunday,Tuesday,1639
625,C089,63,5,23-02-2023,21:15:42,04-03-2023,02:46:06,Belgaum,All Occasions,February,21,9,2,1348,6740,Thursday,Saturday,6740
627,C024,51,4,05-02-2023,04:30:25,08-02-2023,23:38:12,Sirsa,All Occasions,February,4,3,23,1084,4336,Sunday,Wednesday,4336
630,C071,67,3,21-02-2023,21:37:47,01-03-2023,18:53:08,Karimnagar,Anniversary,February,21,8,18,1374,4122,Tuesday,Wednesday,4122
643,C063,35,2,26-02-2023,13:10:24,06-03-2023,20:24:10,Malda,Holi,February,13,8,20,1865,3730,Sunday,Monday,3730
645,C033,50,3,27-02-2023,01:46:39,28-02-2023,02:07:11,Danapur,Holi,February,1,1,2,422,1266,Monday,Tuesday,1266
650,C077,32,3,23-02-2023,01:54:43,02-03-2023,03:09:36,Guwahati,Birthday,February,1,7,3,1792,5376,Thursday,Thursday,5376
662,C068,20,3,09-02-2023,18:29:52,18-02-2023,08:27:53,Hazaribagh,Anniversary,February,18,9,8,697,2091,Thursday,Saturday,2091
